"University Of Texas At Austin","Chemistry","PhD (F19)","Rejected"," E-mail","27 Mar 2019","","","","","","A","26 Mar 2019","Just says denied."
"Syracuse Univeristy","Chemistry","PhD (F16)","Other"," Other","8 Mar 2016","","","","","","A","8 Mar 2016","Just wondering if anyone has received word from them in last couple weeks.  Was told committee would be meeting two weeks ago but have yet to hear a decision.
"
"(University Of California, Los Angeles (UCLA)","Organic Chemistry","PhD (F16)","Rejected"," Website","8 Mar 2016","  3.70","154","158","3.50","","A","8 Mar 2016","Already got into better programs, but still disappointing"
"UCLA","Chemistry","PhD (F16)","Rejected"," E-mail","8 Mar 2016","","","","","","","8 Mar 2016",""
"Georgia Institute Of Technology - Georgia Tech (GATech)","Chemistry (Analytical Chemistry)","PhD (F16)","Rejected"," E-mail","7 Mar 2016","  3.50","80","80","40.00","","A","8 Mar 2016","Emailed them about status a week ago, got the response ""If you have not heard back yet, you application is still under review so you should hopefully hear back within the next week or so."" Knew they were late on things relative to other schools but it seems like they were giving false hope, still hurt. Glad to know one way or the other though."
"Georgia Insititute Of Technology","Chemistry & Chemical Biology","PhD (F16)","Rejected"," E-mail","7 Mar 2016","  2.94","154","159","2.50","","A","8 Mar 2016",""
"ีUniversity Of Southern California","Chemistry","PhD (F16)","Interview"," E-mail","3 Mar 2016","","","","","","I","8 Mar 2016","Already have 5 offers. Still waiting for decisions"
"Oxford University, UK","Inorganic Chemistry","PhD (F16)","Accepted"," E-mail","3 Apr 2016","","","","","","I","8 Mar 2016","Departmental offer but no news of funding"
"Gatech (Georgia Tech)","Chemistry","PhD (F16)","Rejected"," E-mail","7 Mar 2016","","","","","","A","7 Mar 2016",""
"UC Berkeley","Chemistry","PhD (F16)","Other"," Other","7 Mar 2016","","","","","","I","7 Mar 2016","For the previous poster, all top universities like UCB, yale, UNC, UCLA have all sent their offers to this point. The reason you are still waiting is just because they are waiting for the graduate school to notify all applicants in a batch later some point. If you got other offer, please decide ASAP. Best wishes."
"The University Of California At Berkeley","Chemistry","PhD (F16)","Other"," Other","7 Mar 2016","","","","","","O","7 Mar 2016","Please someone tell me that is still a hope of accept. No reply of the mails to graduate office. Application status is still ""Submitted"". If anybody contacted please put the details."
"University Of Arizona","Chemistry","PhD (F16)","Other"," Other","6 Mar 2016","","","","","","","6 Mar 2016","Still haven't heard back from Arizona. Please, if you got accepted and do not plan to attend Arizona inform the committee ASAP so that those silently wait-listed may be admitted!"
"Bryn Mawr College","Chemistry","PhD (S16)","Rejected"," Postal Service","6 Mar 2016","","","","","","A","6 Mar 2016",""
"Oklahoma State Univeristy","Organic Chemistry","PhD (F16)","Accepted"," E-mail","6 Mar 2016","","","","","","I","6 Mar 2016","$1725 PER MONTH    INSURANCE $1422"
"Oklahoma State Univeristy","Organic Chemistry","PhD (F16)","Accepted"," E-mail","6 Mar 2016","  3.80","151","156","3.00","","I","6 Mar 2016","1725 PER MONTH+INSURANCE"
"Florida Stae University","Chemistry","PhD (F16)","Accepted"," E-mail","4 Jan 2016","  3.70","154","168","3.00","","I","5 Mar 2016",""
"University Of South Florida","Chemistry","PhD (F16)","Accepted"," E-mail","4 Mar 2016","  3.85","157","160","4.00","","A","4 Mar 2016","Went here for undergrad, probably won't stay but it's a great school."
"University Of Toledo","Medicinal Chemistry","PhD (F16)","Rejected"," E-mail","3 Mar 2016","  3.69","147","156","3.00","","I","4 Mar 2016",""
"GWU","Chemistry","PhD (F16)","Accepted"," Website","4 Mar 2016","","","","","","I","4 Mar 2016",""
"Boston College","Chemistry","PhD (F16)","Rejected"," Postal Service","25 Feb 2016","  3.30","150","170","3.00","850","I","4 Mar 2016","Write an email to ask and the officer told me they sent me a mail on the first day of Feb.....Still not receive yet....sigh"
"University Of Alberta","Chemistry","PhD (S16)","Accepted"," E-mail","3 Mar 2016","","","","","","I","4 Mar 2016",""
"Washington State University","Chemistry","PhD (F16)","Accepted"," Website","29 Feb 2016","  3.47","161","162","4.50","","I","4 Mar 2016","Chanced upon the decision, while randomly checking the portal. Had an interview mid-February, to assess English speaking skills. No information yet on scholarship and financial assistance. Waiting for an email from the department, notifying me of admission."
"Tufts","Applied Chemistry","PhD (F16)","Accepted"," E-mail","3 Feb 2016","  3.27","159","163","3.00","","A","3 Mar 2016",""
"New York University ( NYU)","Applied Chemistry","PhD (F16)","Rejected"," E-mail","3 Mar 2016","  3.27","159","163","3.00","","A","3 Mar 2016","Graduate gpa 3.8. 2.5 years of research."
"University Of Southern California","Chemistry","PhD (F16)","Accepted"," E-mail","3 Mar 2016","  3.00","154","168","4.00","","I","3 Mar 2016","Had an interview a couple of weeks earlier. 30K main + 1K reallocation + insurance and fees."
"NYU","Chemistry","PhD (F16)","Rejected"," E-mail","3 Mar 2016","","","","","","A","3 Mar 2016","Pretty bitter since a professor was emailing me about joining his research group and then a week later I found out I was rejected"
"Illinois State University","Chemistry","Masters (F16)","Accepted"," E-mail","3 Mar 2016","","","","","","I","3 Mar 2016","To God be the glory. I'm so happy"
"American University","Chemistry","Masters (F16)","Accepted"," E-mail","3 Mar 2016","","","","","","A","3 Mar 2016","So excited!"
"UMass Amherst / University Of Massachusetts Amherst","Chemistry (Analytical)","PhD (F16)","Accepted"," Phone","1 Mar 2016","  3.50","80","80","40.00","","A","2 Mar 2016","Chemistry department returned my call notifying me. Surprised with the late acceptance and having (nervously) completed their new supplemental information sheet for application. Graduate students are unionized. 28K with good benefits, 1.8K fees first year."
"Johns Hopkins University","Chemistry","PhD (F16)","Accepted"," E-mail","16 Feb 2016"," ","150","161","3.00","830","I","2 Mar 2016","1 year research experience, TA/Fellowship"
"University Of Florida","Chemistry","PhD (F16)","Accepted"," E-mail","2 Mar 2016","","","","","","I","2 Mar 2016",""
"University Of Utah","Biological Chemistry","PhD (F16)","Accepted"," Postal Service","9 Feb 2016","","","","","","U","2 Mar 2016","$26000 stipend plus $1000 relocation award"
"Ucla","Chemistry","PhD (F16)","Rejected"," E-mail","2 Mar 2016","  3.70","155","163","4.50","710","A","2 Mar 2016","2 years research, 1 REU, 1 publication in review with another being drafted. 1 year experience in academia. ACS-Organic award and many departmental awards and honors. Wasn't expecting to get in here, but it was worth a shot!"
"UCLA","Chemistry","PhD (F16)","Rejected"," E-mail","2 Mar 2016","  2.88","159","170","3.00","96","I","2 Mar 2016","They have sent me the E-mail to check the decision made with the following link. 
https://appstatus.grad.ucla.edu/"
"Northeastern University","Medicinal Chemistry","Masters (F16)","Accepted"," E-mail","25 Feb 2016","  3.37","149","164","3.00","","I","2 Mar 2016",""
"University Of Michigan - Ann Arbor","Medicinal Chemistry","PhD (F16)","Accepted"," E-mail","1 Mar 2016","  3.70","160","164","4.50","","A","2 Mar 2016","Decisions sent a couple days after interview."
"Duke","Chemistry","PhD (F16)","Rejected"," Website","1 Mar 2016","","","","","","I","1 Mar 2016",""
"Virginia Commonwealth University","Chemistry","PhD (F16)","Accepted"," E-mail","15 Feb 2016","  3.43","145","167","3.00","","I","1 Mar 2016",""
"Duke University","Chemistry","PhD (F16)","Rejected"," Website","1 Mar 2016","","","","","","I","1 Mar 2016","Mail to check website"
"Tulane University","Chemistry","PhD (F16)","Accepted"," E-mail","1 Mar 2016","  3.05","159","159","4.00","","A","1 Mar 2016",""
"Duke Univerisity","Chemistry & Chemical Biology","PhD (F16)","Rejected"," Website","1 Mar 2016","  2.95","154","159","2.50","","A","1 Mar 2016",""
"University Of Wisconsin-Madison","Chemistry","PhD (F16)","Accepted"," E-mail","2 Mar 2016","","","","","","I","1 Mar 2016",""
"Duke","Chemistry","PhD (F16)","Rejected"," E-mail","1 Mar 2016","  3.70","155","163","4.50","710","A","1 Mar 2016","2 years research, 1 REU, 1 publication in review with another being drafted.  1 year experience in academia. ACS-Organic award and many departmental awards and honors. Wasn't expecting to get in here, but it was worth a shot!"
"Duke University","Chemistry","PhD (F16)","Rejected"," E-mail","1 Mar 2016","  3.80","148","170","3.00","720","I","1 Mar 2016",""
"Georgia Tech","Chemistry","PhD (F16)","Rejected"," E-mail","1 Mar 2016","","","","","","I","1 Mar 2016",""
"Colorado Boulder","Chemistry","PhD (F16)","Rejected"," Postal Service","1 Mar 2016","","","","","","I","1 Mar 2016","They could've informed me by email WEEKS ago"
"University Of Cambridge","Chemistry","PhD (F16)","Interview"," E-mail","1 Mar 2016","  4.00","153","170","99.99","990","I","1 Mar 2016","Got oral acceptance by a potential supervisor. However, still in status of ""Application with Degree Committee"". What does that mean?"
"University Of California, Los Angeles","Chemistry","PhD (F16)","Rejected"," E-mail","1 Mar 2016","  2.95","160","165","5.50","720","A","1 Mar 2016","Generic email that said check website. Low GPA from undergrad, D1 athletics, 2 years research, 1 publication, 2 years Industry chemist experience."
"Georgia Institute Of Technology","Chemistry","PhD (F16)","Rejected"," E-mail","1 Mar 2016","  3.80","148","170","3.00","720","I","1 Mar 2016",""
"Georgia Institute Of Technology","Chemistry And Biochemistry","PhD (F16)","Rejected"," E-mail","1 Mar 2016","","","","","","I","1 Mar 2016","well at least gaytech didnt cost me any money"
"Univ. Of Massachusetts","Chemistry","PhD (F16)","Accepted"," E-mail","24 Feb 2016","","","","","","I","1 Mar 2016",""
"Georgia Tech","Chemistry","PhD (F16)","Rejected"," E-mail","1 Mar 2016","","","","","","I","1 Mar 2016",""
"Gatech (Georgia Institute Of Technology)","Chemistry","PhD (F16)","Rejected"," E-mail","1 Mar 2016","","","","","","U","1 Mar 2016","As expected."
"Georgia Institute Of Technology","Chemistry And Biochemistry","PhD (F16)","Rejected"," E-mail","28 Feb 2016","","","","","","I","1 Mar 2016","3p/2r/1 acceptance but to MSc without funding. Cant deny that I feel so bad about myself."
"Emory University","Chemistry","PhD (F16)","Rejected"," E-mail","23 Feb 2016","  3.80","164","165","5.00","","I","1 Mar 2016","Expected since their international acceptance rate is really low. Got better universities to go to though! :D"
"Vanderbilt University","Chemistry","PhD (F16)","Rejected"," E-mail","26 Feb 2016","","","","","","A","29 Feb 2016",""
"Rice University","Chemistry","PhD (F16)","Rejected"," E-mail","24 Feb 2016","","","","","","A","29 Feb 2016","Honestly, not surprised."
"University Of Cambridge","Chemistry (MPhil)","Other (F16)","Rejected"," E-mail","26 Feb 2016","","","","","","I","29 Feb 2016","Got oral accepted by a potential supervisor
However! Rejected by General Education Committee 
Reason: 3.2/4 GPA is below the minimum requirement (3.5/4)
I gradurated from a University in Hong Kong."
"University Of California, San Francisco","Chemistry And Chemical Biology","PhD (F16)","Accepted"," E-mail","25 Feb 2016","","","","","","I","29 Feb 2016","Amazing！"
"UC Berkeley","Chemistry (Theoretcal)","PhD (F16)","Other"," Other","29 Feb 2016","","","","","","I","29 Feb 2016","I am worried whether international acceptances are made already. If anyone has contacted the department please put the details"
"Ohio State (OSU)","Chemistry","PhD (F16)","Accepted"," E-mail","30 Jan 2016","  2.88","159","170","3.00","96","I","28 Feb 2016","My mistake, I had been rejected from TAMU but got the admission from OSU."
"Texas A&M  (TAMU)","Chemistry","PhD (F16)","Accepted"," E-mail","30 Jan 2016","  2.88","170","159","3.00","900","I","28 Feb 2016","Looks like my GRE Subject score has backed up my poor GPA.
2 Good LOR, 1 Ok LOR, No research experience."
"Boston College (BC)","Chemistry","PhD (F16)","Wait listed"," E-mail","11 Feb 2016","","","","","","U","28 Feb 2016","Got an email from the professor that I am now on the waiting list. Anyone who get admitted, but not intended to go, please make the decision a little earlier, so that others like me could get chance. Appreciated for your kindly help."
"École Polytechnique Fédérale De Lausanne, EPFL","Molecular & Biological Chemistry","Masters (F16)","Accepted"," E-mail","25 Feb 2016","","","","","","I","27 Feb 2016","Planned to send my candidature to the Werner scholarship. Hope for the best."
"Vanderbilt Univeristy","Chemistry","PhD (F16)","Rejected"," E-mail","26 Feb 2016","  3.05","159","159","4.00","","A","27 Feb 2016",""
"Massachusetts Institute Of Technology (MIT)","Chemistry (Inorganic)","PhD (F16)","Wait listed"," E-mail","26 Feb 2016","  3.59","168","170","5.50","840","A","27 Feb 2016","""...You have not yet received an official notification from MIT Chemistry because your application is one of a select twelve applications that we have on hold. We are very enthusiastic about your application and the prospect of having you join us at MIT for your graduate studies, and are evaluating whether we can increase our class size for the upcoming academic year. We will notify you as soon as possible regarding the final admissions status of your application."""
"Colorado State University","Chemistry","PhD (F16)","Accepted"," E-mail","26 Feb 2016","  3.33","151","156","4.00","","A","26 Feb 2016","1 publication, 2 years undergrad Organic TA, International research internship"
"University Of California Irvine","Chemistry","PhD (F16)","Rejected"," E-mail","26 Feb 2016","  3.30","162","161","4.00","","A","26 Feb 2016",""
"UC Irvine","Chemistry","PhD (F16)","Rejected"," E-mail","26 Feb 2016","","","","","","A","26 Feb 2016",""
"UC Irvine","Chemistry","PhD (F16)","Rejected"," E-mail","26 Feb 2016","","","","","","A","26 Feb 2016","Called in and was told I was rejected."
"The University Of Tennessee (Knoxville)","Chemistry","PhD (F16)","Accepted"," Website","20 Nov 2015","  3.14","161","158","4.00","670","A","26 Feb 2016",""
"Penn State","Chemistry","PhD (F16)","Accepted"," E-mail","16 Dec 2015","  3.14","161","158","4.00","670","A","26 Feb 2016","For all of those individuals with lower GPAs, there's still hope"
"University Of Washington","Chemistry","PhD (F16)","Other"," Other","26 Feb 2016","","","","","","I","26 Feb 2016","To PhD applicants of Chemistry program, the University of Washington, do you know if the school finished sending out their acceptance letters? So far I saw 18 accepted posts this year..."
"EPFL","Molecular & Biological Chemistry","Masters (F16)","Accepted"," E-mail","25 Feb 2016","","","","","","A","26 Feb 2016","GPA 3.9/4.0 from state university in USA. Pubs and presentations. Various awards. No information regarding excellence fellowship as of now."
"Clemson Univeristy","Chemistry","PhD (F16)","Accepted"," E-mail","25 Feb 2016"," ","147","159","3.00","","I","25 Feb 2016","Email from graduate coordinator. Graduate teaching assistantship with 22k stipend. But hate those graduate assistant fee and the health insurance fee."
"Florida International University","Chemistry","PhD (F16)","Accepted"," E-mail","25 Feb 2016","","","","","","A","25 Feb 2016","Had to email the director of the program directly to hear anything, admissions package is not the greatest"
"Wayne State University","Chemistry","PhD (F16)","Accepted"," E-mail","13 Jan 2016","  3.60","148","160","3.00","","I","25 Feb 2016",""
"The University Of Wisconsin Madison","Chemistry","PhD (F16)","Wait listed"," E-mail","25 Feb 2016","","","","","","I","25 Feb 2016","Anyone who is not going to accept the offer please let the selection committee know as soon as possible. Thank you very much."
"Brown University","Chemistry","PhD (F16)","Rejected"," Website","24 Feb 2016"," ","162","161","4.00","","A","24 Feb 2016","Email that status was posted. Surprised, but I got into better schools anyway..."
"Penn State","Chemistry","PhD (F16)","Rejected"," E-mail","22 Jan 2016"," ","162","161","4.00","","A","24 Feb 2016",""
"Rensselaer Polytechnic Institute","Chemistry","PhD (F16)","Accepted"," E-mail","24 Feb 2016"," ","162","161","4.00","","A","24 Feb 2016","Email to check website"
"University Of California, Davis","Chemistry","PhD (F16)","Accepted"," E-mail","20 Jan 2016"," ","162","161","4.00","","A","24 Feb 2016",""
"University Of Southern California","Chemistry","PhD (F16)","Accepted"," E-mail","13 Jan 2016","  3.30","162","161","4.00","","A","24 Feb 2016",""
"Rutgers","Chemistry PhD","PhD (F16)","Accepted"," E-mail","25 Jan 2016","  3.60","157","166","6.00","","A","24 Feb 2016",""
"University Of Southern California(USC)","Chemistry","PhD (F16)","Accepted"," E-mail","24 Feb 2016","  4.00","160","160","3.50","","I","24 Feb 2016","4 summer internships (one international), 1 and half years of M.Sc research project, 2 publications soon, 3 Excellent LORs -- Fellowship of 30K and 1K for rellocation."
"UCSF","Chemistry And Chemical Biology (CCB)","PhD (F16)","Accepted"," E-mail","23 Feb 2016","","","","","","I","24 Feb 2016","Unbelievable!! e-mail from POI, with 4K moving bonus"
"The University Of Iowa","Chemistry","PhD (F16)","Accepted"," E-mail","24 Feb 2016","  3.32","155","170","3.00","","I","24 Feb 2016",""
"The Ohio State University","Chemistry","PhD (F16)","Rejected"," E-mail","24 Feb 2016","  3.32","155","170","3.00","","I","24 Feb 2016",""
"Umass Amherst","Chemistry","PhD (F16)","Accepted"," E-mail","24 Feb 2016","  3.46","143","161","3.00","","I","24 Feb 2016","Two first author publications"
"Umass Amherst","Chemistry","PhD (F16)","Accepted"," E-mail","23 Feb 2016","  3.31","143","168","3.00","","I","24 Feb 2016","Rather weak TOEFL; strong research background; 5 publications, including two 1st-author ones(one highlighted, one in preparation); strong LORs."
"University Of New Mexico","Chemistry","PhD (F16)","Accepted"," E-mail","8 Feb 2016","  3.31","143","168","3.00","","I","24 Feb 2016","weak TOEFL; strong research background; 5 publications, including two 1st-author ones(one highlighted, one in preparation); strong LORs."
"Louisiana State University","Chemistry","PhD (F16)","Accepted"," E-mail","24 Feb 2016","  3.30","143","168","3.00","","I","24 Feb 2016","Rather weak TOEFL; strong research background; 5 publications, including two 1st-author ones(one highlighted, one in preparation); strong LORs."
"Texas Tech University","Chemistry","PhD (F16)","Accepted"," E-mail","2 Feb 2016","  3.30","143","168","3.00","","I","24 Feb 2016","weak TOEFL; strong research background; 5 publications, including two 1st-author ones(one highlighted, one in preparation); strong LORs."
"University Of Colorado","Chemistry","PhD (F16)","Rejected"," Postal Service","23 Feb 2016","  3.53","167","159","5.00","","A","23 Feb 2016","In at a better program anyway. Was supposed to be my safety lol."
"CU Boulder","Chemistry","PhD (F16)","Rejected"," Postal Service","23 Feb 2016","","","","","","A","23 Feb 2016","Life is awful"
"Duke","Organic Chemistry","PhD (F16)","Accepted"," Website","23 Feb 2016","  3.85","157","160","4.00","","A","23 Feb 2016","Email to check website, thought for sure it'd be a rejection. So excited!"
"Michigan State University","Chemistry","PhD (F16)","Accepted"," E-mail","23 Feb 2016","","","","","","A","23 Feb 2016","Chemistry Mathematics double major, 3 years of chemistry research (1 publication) and 1 year of mathematics research."
"University Of Brown","Chemistry","PhD (F16)","Rejected"," E-mail","23 Feb 2016","  3.60","165","155","3.00","","I","23 Feb 2016","First author publication, Disappointed even though I do not think Brown is good enough actually."
"Brown University","Chemistry","PhD (F16)","Rejected"," Website","23 Feb 2016","  2.94","159","154","2.50","","A","23 Feb 2016","got into somewhere better anyway..."
"Brown Univerisity","Chemistry","PhD (F16)","Rejected"," E-mail","23 Feb 2016","","","","","","A","23 Feb 2016","Kind of heartbroken. Top choice program."
"Boston College","Chemistry","PhD (F16)","Rejected"," Postal Service","4 Feb 2016","","","","","","I","23 Feb 2016",""
"University Of Pennsylvania (Penn)","Chemistry (Theoretical Chemistry)","PhD (F16)","Accepted"," E-mail","23 Feb 2016","  3.68","155","168","3.00","790","I","23 Feb 2016","One publication, strong LORs and a solid SOP"
"University Of Idaho","Chemistry","PhD (F16)","Accepted"," E-mail","23 Feb 2016","  3.69","141","161","3.00","","I","23 Feb 2016",""
"Colorado University Boulder","Chemistry","PhD (F16)","Rejected"," Postal Service","22 Feb 2016","  3.40","162","164","3.00","","A","23 Feb 2016","really bummed"
"The University Of Toronto","Chemistry","PhD (F16)","Rejected"," E-mail","14 Jan 2016","","","","","","I","23 Feb 2016",""
"Northwestern Univeristy","Chemistry","PhD (F16)","Rejected"," E-mail","23 Feb 2016","","","","","","I","23 Feb 2016",""
"Massaaachusett Institute Of Technology (MIT)","Chemistry","PhD (F16)","Rejected"," E-mail","4 Feb 2016","","","","","","I","23 Feb 2016",""
"TAMU (Texas A&M University)","Chemistry","PhD (F16)","Accepted"," E-mail","29 Jan 2016","","","","","","I","23 Feb 2016",""
"University Of Pennsylvania","Chemistry","PhD (F16)","Rejected"," E-mail","23 Feb 2016","","","","","","I","23 Feb 2016","Show their arrogance. Short letter & late informed. Screw you."
"Emory University","Chemistry","PhD (F16)","Rejected"," E-mail","23 Feb 2016","","","","","","I","23 Feb 2016","Fine... A backup school gone"
"Emory","Chemistry","PhD (F16)","Rejected"," E-mail","23 Feb 2016","","","","","","A","23 Feb 2016",""
"University Of Colorado Boulder","Chemistry","PhD (F16)","Rejected"," Postal Service","22 Feb 2016","","","","","","I","23 Feb 2016",""
"University Of Pennsylvania","Chemistry","PhD (F16)","Rejected"," E-mail","22 Feb 2016","","","","","","I","23 Feb 2016","Generic Email."
"University Of Cambridge","Chemistry","Masters (F16)","Accepted"," Website","22 Feb 2016","","","","","","A","22 Feb 2016","Secured placement in lab before submitting my application. GPA 3.9/4.0. 1 Publication, >15 conferences, numerous manuscripts in process. Fulbright semifinalist to interview soon. No word on Cam. Trust funding yet (notifications in March-July). Gates Cam. reject."
"Emory University","Chemistry","PhD (F16)","Rejected"," E-mail","22 Feb 2016","  3.30","154","152","3.50","","U","22 Feb 2016",""
"Emory (Laney Graduate School)","Chemistry (Chemical Biology)","PhD (F16)","Wait listed"," E-mail","19 Feb 2016","  2.94","159","154","2.50","","A","22 Feb 2016","Please reply fast....."
"Emory University","Chemistry","PhD (F16)","Rejected"," E-mail","22 Feb 2016","  3.60","168","153","5.00","","A","22 Feb 2016",""
"Emory University","Chemistry","PhD (F16)","Rejected"," E-mail","22 Feb 2016","  3.60","162","165","3.50","","A","22 Feb 2016","got the rejection, a little pithy"
"Emory University","Chemistry","PhD (F16)","Rejected"," E-mail","22 Feb 2016","  3.78","167","159","5.50","","A","22 Feb 2016","Not unexpected, as I applied in October and hadn't heard back."
"Penn (University Of Pennsylvania)","Chemistry","PhD (F16)","Rejected"," E-mail","22 Feb 2016","","","","","","A","22 Feb 2016",""
"Tulane University","Chemistry","PhD (F16)","Accepted"," E-mail","20 Feb 2016","  3.49","161","162","4.50","","I","22 Feb 2016","Accepted with full scholarship and funding,"
"Texas Tech University","Chemistry","PhD (F16)","Accepted"," E-mail","17 Feb 2016","  3.61","148","164","3.00","","I","22 Feb 2016",""
"Emory University","Chemistry","PhD (F16)","Wait listed"," E-mail","19 Feb 2016","","","","","","A","21 Feb 2016",""
"University Of California, Berkeley","Chemistry","PhD (F16)","Other"," Other","21 Feb 2016","","","","","","I","21 Feb 2016","Is there still any chance of getting an accept ?
I think that berkeley will only send rejection letter now onwards."
"Vanderbilt","Organic Chemistry","PhD (F16)","Accepted"," E-mail","4 Dec 2015","  3.85","160","157","4.00","","A","21 Feb 2016","Delayed on posting this. Submitted my app and LORs very early. 3 years undergrad research, one co-author pub, two more in preparation."
"University Of Florida","Chemistry","PhD (F16)","Accepted"," E-mail","20 Feb 2016","  3.52","155","170","3.00","","I","20 Feb 2016","Really appreciated! Good luck to other applicants"
"Alabama Birmingham","Chemistry","PhD (F16)","Accepted"," E-mail","20 Feb 2016","","","","","","I","20 Feb 2016",""
"University Of Oxford","Inorganic Chemistry","PhD (F16)","Accepted"," E-mail","17 Feb 2016","","","","","","I","20 Feb 2016","Waiting for funding now"
"Cambridge  University","Chemistry","PhD (F16)","Accepted"," E-mail","19 Feb 2016","","","","","","I","20 Feb 2016","To the Chemistry guy below, have you heard about Departamental funding?"
"Yale  University","Chemistry (Organic Chemistry)","PhD (F16)","Rejected"," E-mail","19 Feb 2016","  3.54","163","170","5.00","","A","19 Feb 2016","personal email from POI"
"Emory  University","Chemistry (Materials Chemistry)","PhD (F16)","Wait listed"," E-mail","19 Feb 2016","  3.56","166","158","4.50","640","A","19 Feb 2016","Wait listed. Email with form letter attached. :/"
"Syracuse University","Chemistry","PhD (F16)","Accepted"," E-mail","19 Feb 2016","  3.70","153","153","4.50","","A","19 Feb 2016","Offered TA position for full tuition, healthcare etc.
9 month $24,152 stipend plus $3,600 summer funding.

1 year research experience (Inorganic synthesis)"
"Northwestern","Chemistry","PhD (F16)","Rejected"," E-mail","25 Jan 2016","","","","","","I","19 Feb 2016","Not good Chem-GRE scores.."
"University Of Maryland, College Park","Chemistry","PhD (F16)","Rejected"," E-mail","27 Jan 2016","","","","","","I","19 Feb 2016","Generic email. 2yrs research experience, one 1st author paper, two 2nd author papers, 3 strong LORs."
"Penn State","Chemistry","PhD (F16)","Rejected"," E-mail","11 Feb 2016","","","","","","I","19 Feb 2016","2yrs research exp, 3 soon to be published papers (1st author), 3 strong LORs. 304 GRE"
"Boston College","Chemistry","PhD (F16)","Rejected"," Postal Service","16 Feb 2016","","","","","","I","19 Feb 2016","Have 2yrs of research experience, 3 soon to published articles (1st author). 305 on GRE."
"University Of Cambridge","Chemistry","PhD (F16)","Accepted"," E-mail","19 Feb 2016","","","","","","I","19 Feb 2016",""
"University Of North Carolina - Chapel Hill","Chemistry","PhD (F16)","Rejected"," Website","18 Feb 2016","  2.92","155","159","4.50","","A","19 Feb 2016","Strong research background, 3 strong letters of rec, publication in preparation. Low GPA. Got an email saying to check website, which had generic rejection letter attached."
"Old Dominion University","Chemistry","PhD (F16)","Rejected"," E-mail","19 Feb 2016","","","","","","I","19 Feb 2016",""
"Columbia  University","Chemistry","PhD (F16)","Wait listed"," E-mail","19 Feb 2016","","","","","","I","19 Feb 2016","This is my top school. If anyone is not planning to accept its offer please let the admission committee know as soon as possible. Thank you."
"MIT","Chemistry","PhD (F16)","Rejected"," E-mail","18 Feb 2016","  3.53","167","159","5.00","","A","19 Feb 2016","The way this dragged out...not classy MIT"
"MIT","Chemistry","PhD (F16)","Rejected"," E-mail","19 Feb 2016","","","","","","I","19 Feb 2016","so sad"
"UC-Davis","Chemistry","PhD (F16)","Accepted"," E-mail","4 Feb 2016"," ","170","157","3.00","860","U","19 Feb 2016","The unofficial offer was just received. 28000/year."
"Boston College","Chemistry","PhD (F16)","Rejected"," E-mail","18 Feb 2016","","","","","","U","18 Feb 2016","Admitted by Caltech and Stanford...why..."
"Massachusett Institute Of Technology (MIT)","Chemistry (Organic Chemistry)","PhD (F16)","Rejected"," E-mail","17 Feb 2016","","","","","","I","18 Feb 2016","finally..."
"Massachusett Institute Of Technology (MIT)","Chemistry","PhD (F16)","Rejected"," E-mail","18 Feb 2016","","","","","","U","18 Feb 2016",""
"University Of Oxford","Chemistry","PhD (F16)","Accepted"," E-mail","10 Feb 2016","","","","","","I","18 Feb 2016",""
"U Chicago","Chemistry","PhD (F16)","Accepted"," E-mail","5 Feb 2016","","","","","","I","18 Feb 2016",""
"UIUC","Chemistry","PhD (F16)","Accepted"," E-mail","18 Feb 2016","","","","","","I","18 Feb 2016",""
"UIUC","Chemistry","PhD (F16)","Accepted"," E-mail","5 Feb 2016","","","","","","I","18 Feb 2016",""
"University Of Pennsylvania","Chemistry","PhD (F16)","Rejected"," E-mail","18 Feb 2016","","","","","","U","18 Feb 2016",""
"University Of Pennsylvania","Chemistry","PhD (F16)","Rejected"," E-mail","18 Feb 2016","  2.97","154","158","3.50","","A","18 Feb 2016",""
"University Of Utah","Chemistry","PhD (F16)","Rejected"," E-mail","18 Feb 2016","  3.90","152","145","3.00","680","I","18 Feb 2016","TOEFL:97 and the director of chemistry department inform me they need min score in the website:105"
"UNC Chapel Hill","Chemistry","PhD (F16)","Rejected"," E-mail","15 Feb 2016","  3.50","161","156","0.00","","A","18 Feb 2016","3.5 years of research, 1 primary author publication, 7 conferences including ACS NERM and 2 at ACS National. 

Last LOR wasn't in until after most acceptances were sent out. They also prioritize NC residents, which I am not."
"University Of California, Berkeley","Chemistry","PhD (F16)","Other"," Other","18 Feb 2016","","","","","","I","18 Feb 2016","I am waiting forever for the decision.
Haven't heard anything till now. I don't even know whether decision has been finalized."
"UC Davis","Chemistry","PhD (F16)","Accepted"," E-mail","17 Feb 2016","","","","","","A","18 Feb 2016","Terribly Low GRE but I guess my letters and Tramscript were the major carriers"
"University Of Indiana - Bloomington","Chemistry","PhD (F16)","Accepted"," E-mail","16 Feb 2016","","","","","","I","18 Feb 2016","had a skype interview last week"
"Massaaachusetts Institute Of Technology (MIT)","Chemistry","PhD (F16)","Other"," Other","18 Feb 2016","","","","","","I","18 Feb 2016","Waiting for MIT too. Did a phone interview in January"
"UPenn","Chemistry","PhD (F16)","Rejected"," E-mail","18 Feb 2016","","","","","","A","18 Feb 2016",""
