Shiraz University,Department Of Mechanical And Nuclear Engineering, Masters (S19),Other , Website , 16 Jul 2018,,,,, ,I,16 Jul 2018,,
Texas A & M,Nuclear Engineering, Masters (F14),Accepted , Website , 12 Feb 2014 ,3.82,165,170,4, n/a,A,12 Feb 2014,,
University Of Michigan - Ann Arbor,Nuclear Engineering Radiological Sciences, PhD (F14),Interview , E-mail , 10 Feb 2014 ,3.9,163,161,5.5, n/a,A,10 Feb 2014,Invitation to a departmental visit with a faculty member,
Texas A&M University,Nuclear Engineering, PhD (F14),Accepted , E-mail , 6 Feb 2014,,,,, ,I,9 Feb 2014,,
Texas A&M,Nuclear Engineering, PhD (F14),Accepted , E-mail , 7 Feb 2014,,,,, ,I,9 Feb 2014,,
Kansas State,Nuclear Engineering, PhD (F14),Accepted , E-mail , 8 Feb 2014 ,3.34,166,158,4, n/a,A,8 Feb 2014,20.5 K per year RA and 8K fellowship first year,
University Of Illinois At Urbana-Champaign,Nuclear Engineering, Masters (F14),Accepted , E-mail , 7 Feb 2014 ,3.82,165,170,4, n/a,A,7 Feb 2014,,
University Of Illinois At Urbana–Champaign,"Nuclear, Plasma, And Radiological Engineering", PhD (F14),Accepted , E-mail , 6 Feb 2014 ,3.87,164,162,5,740,A,7 Feb 2014,,
Rensselaer Polytechnic Institute,Nuclear Engineering, PhD (F14),Other , E-mail , 24 Jan 2014 ,3.34,166,158,4, n/a,A,24 Jan 2014,"accepted on 1/14, funding offered today, assistantship of 18.5k per year",
Gatech,Nuclear Engineering (Medical Physics), PhD (F14),Rejected , E-mail , 22 Jan 2014,,,,, ,I,22 Jan 2014,,
University Of Tennessee Knoxville,Nuclear Engineering, PhD (F14),Accepted , E-mail , 19 Jan 2014,,,,, ,A,19 Jan 2014,The email from admissions doesn't actually mean anything you have to hear from the department,
University Of Tennessee Knoxville,Nuclear Engineering, PhD (F14),Accepted , E-mail , 16 Jan 2014 ,3.34,166,158,4, n/a,A,16 Jan 2014,No word on funding yet,
Rensselaer Polytechnic Institute,Nuclear Engineering, PhD (F14),Accepted , E-mail , 14 Jan 2014 ,3.34,166,158,4, n/a,A,15 Jan 2014,,
University Of Cambridge,Nuclear Engineering, PhD (S14),Accepted , Website , 12 Nov 2013,,,,, ,I,12 Nov 2013,Got accepted into the Best University in the world for science. Dream came true :D :D,
University Of Michigan,Nuclear Engineering, PhD (F13),Rejected , E-mail , 28 Mar 2013 ,3.98,154,170,3.5, n/a,I,31 Mar 2013,,
Oregon State University,Nuclear Engineering, Masters (F13),Rejected , E-mail , 29 Mar 2013,,,,, ,A,29 Mar 2013,"Was my number one :( oh well, I still got acceptances elsewhere.",
University Michigan Ann Arbor,Nuclear Engineering, Masters (F13),Rejected , E-mail , 29 Mar 2013,,,,, ,A,29 Mar 2013,,
UC Berkeley,Nuclear Engineering, Masters (F13),Rejected , E-mail , 29 Mar 2013,,,,, ,A,29 Mar 2013,,
UC Berkeley,Nuclear Engineering, PhD (F13),Rejected , Website , 29 Mar 2013,,,,, ,I,29 Mar 2013,wish my friends could get it,
"University Of California, Berkeley",Nuclear Engineering, PhD (F13),Rejected , Website , 29 Mar 2013,,,,, ,A,29 Mar 2013,going to stanford. life could be worse.,
Purdue University,Nuclear Engineering, PhD (F13),Accepted , Phone , 22 Mar 2013,,,,, ,I,22 Mar 2013,Call from the department head notifying me that I have been accepted.,
UC Berkeley,Nuclear Engineering, PhD (F13),Rejected , Phone , 20 Mar 2013,,,,, ,I,20 Mar 2013,"Called and got the answer. I believe final admissions/rejections were done this week, as last week I did not yet have a status. Was told that official emails will go out soon.",
University Of Michigan - Ann Arbor,Nuclear Engineering, PhD (F13),Rejected , E-mail , 19 Mar 2013,,,,, ,A,19 Mar 2013,nbd. stanford and harvard said yes.,
University Of Michigan - Ann Arbor,Nuclear Engineering, Masters (F13),Accepted , E-mail , 11 Mar 2013,,,,, ,A,19 Mar 2013,with fellowship,
University Of Michigan Ann-Arbor,Nuclear Engineering, Masters (F13),Rejected , E-mail , 19 Mar 2013,,,,, ,A,19 Mar 2013,,
University Of Michigan,Nuclear Engineering And Radiological Sciences, PhD (F13),Rejected , E-mail , 19 Mar 2013 ,3.5,153,169,3, n/a,I,19 Mar 2013,,
Pennsylvania State University,Department Of Mechanical And Nuclear Engineering, Masters (F13),Accepted , E-mail , 9 Mar 2013 ,3.6,630,800,3.5, n/a,I,9 Mar 2013,Offered Teaching Assistantship.,
Georgia Tech,Nuclear & Radiological Engineering & Medical Physics, PhD (F13),Accepted , Postal Service , 18 Feb 2013,,,,, ,A,7 Mar 2013,Accepted with visit on 3/15,
MIT,Nuclear Science And Engineering (Plasma Physics), PhD (F13),Accepted , E-mail , 20 Feb 2013 ,3.95,155,170,3.5,890,U,6 Mar 2013,,
ETH Zurich,Nuclear Engineering, Masters (F13),Accepted , E-mail , 27 Feb 2013 ,n/a,161,165,4.5, n/a,A,27 Feb 2013,,
MIT,Nuclear Science And Engineering, PhD (F13),Rejected , Phone , 25 Feb 2013,,,,, ,I,25 Feb 2013,Called and got the answer I expected. If you were not emailed last week it is likely a rejection :(,
MIT,Nuclear Science And Engineering, PhD (F13),Accepted , E-mail , 20 Feb 2013,,,,, ,I,25 Feb 2013,,
MIT,Nuclear Engineering (Plasma Physics And Fusion), PhD (F13),Accepted , E-mail , 20 Feb 2013,,,,, ,I,24 Feb 2013,,
Penn State,Mechanical And Nuclear Engineering, PhD (F13),Accepted , E-mail , 18 Feb 2013 ,n/a,163,161,4.5, n/a,A,22 Feb 2013,,
MIT,Nuclear Science And Engineering, PhD (F13),Accepted , E-mail , 21 Feb 2013,,,,, ,I,21 Feb 2013,,
University Of Michigan - Ann Arbor,Nuclear Engineering, PhD (F13),Interview , E-mail , 20 Feb 2013,,,,, ,A,20 Feb 2013,Department Visit Weekend Invitation,
University Of Illinois - Urbana Champaign,"Nuclear, Plasma And Radioligical Engineering", PhD (F13),Accepted , E-mail , 20 Feb 2013,,,,, ,I,20 Feb 2013,,
University Of New Mexico,Nuclear Engineering, Masters (F13),Accepted , Phone , 14 Feb 2013 ,3.16,155,152,4, n/a,A,19 Feb 2013,Researcher called about my internships at LLNL in rad detection. Was accepted into program to start in July. Offered research assistant stipend and tuition waiver. Will be admitted under the condition that I continue into the Ph.D program.,
UC Berkeley,Nuclear Engineering, PhD (F13),Accepted , E-mail , 13 Feb 2013 ,3.6,160,166,4.5, n/a,A,15 Feb 2013,"4.0 in masters from state school, several years of professional experience
Super excited!",
Purdue University,Nuclear Engineering, Masters (F13),Accepted , E-mail , 12 Feb 2013 ,n/a,161,167,4, n/a,I,12 Feb 2013,,
The Ohio State University,Nuclear Engineering MS,Other (F13),Accepted ,Postal Service,21 Jan 2013,,,,, ,A,3 Feb 2013,,
University Of Wisconsin - Madison,Nuclear Engineering And Engineering Physics, Masters (F13),Accepted , E-mail , 1 Feb 2013,,,,, ,A,1 Feb 2013,,
MIT,Nuclear Engineering, PhD (F13),Accepted , E-mail , 31 Jan 2013,,,,, ,A,31 Jan 2013,,
Penn State University,Nuclear Engineering, Masters (F13),Accepted , E-mail , 29 Jan 2013,,,,, ,A,29 Jan 2013,,
Rensselaer Polytechnic Institute,Nuclear Engineering, PhD (F13),Accepted , E-mail , 25 Jan 2013,,,,, ,A,26 Jan 2013,Stipend of 18k with TAship. Very excited,
Rensselaer Polytechnic Institute,Nuclear Engineering, PhD (F13),Accepted , E-mail , 15 Jan 2013 ,3.2,255,255,4, n/a,A,23 Jan 2013,"Female, 2 LLNL internships, 1st author on 1 paper, name on an IEEE poster, 3 excellent LoRs, double major physics & mech E, automotive background.",
Rensselaer Polytechnic Institute,Nuclear Engineering, Masters (F13),Accepted , Website , 3 Jan 2013,,,,, ,A,15 Jan 2013,Email was followed by a mailed letter. Both said funding would be discussed in communication with department. Haven't heard anything from the department yet.,
Desh Bhagat Engineering College,Nuclear Engineering, PhD (F12),Accepted , Phone , 18 Apr 2012,,,,, ,I,18 Apr 2012,GR8!!!! I am the only student in this institute!!!!,
MIT,Nuclear Engineering, PhD (F12),Rejected , E-mail , 30 Mar 2012,,,,, ,I,30 Mar 2012,Personal (unofficial) email from the department,
University Of Michigan,Nuclear Engineering And Radiological Science, Masters (F12),Rejected , Website , 30 Mar 2012 ,n/a,620,770,4.5, n/a,I,30 Mar 2012,Randomly checked wolverine account and had a link to view decision. Now to wait for an email for a reminder of my disappointment.,
MIT,Nuclear Engineering, PhD (F12),Other , Phone , 28 Mar 2012,,,,, ,I,28 Mar 2012,"Just call the NSE department, no decision has been taken yet! Still hope!",
UC Berkeley,Nuclear Engineering, PhD (F12),Accepted , Phone , 28 Mar 2012 ,,,,,,?,28 Mar 2012,So excited! =),
Massachusetts Institute Of Technology,Nuclear Science And Engineering, Masters (F12),Rejected , Phone , 19 Mar 2012 ,3.77,155,165,4.5, n/a,A,27 Mar 2012,Called and found out the answer.  Congratulations and good luck to everyone who was admitted.,
University California Berkeley,Nuclear Engineering, PhD (F12),Rejected , E-mail , 23 Mar 2012,,,,, ,I,23 Mar 2012,,
"University Of California, Berkeley",Nuclear Engineering, PhD (F12),Rejected , E-mail , 22 Mar 2012 ,n/a,149,170,3.5,990,I,22 Mar 2012,,
Massachusetts Institute Of Technology,Nuclear Science And Engineering, Masters (F12),Rejected , Phone , 20 Mar 2012 ,3.77,155,165,4.5, n/a,A,20 Mar 2012,I called and got the answer I expected but did not hope to hear. Good luck to everyone who got accepted.,
Penn State (PSU) University Park,Mechanical And Nuclear Engineering, PhD (F12),Accepted , E-mail , 16 Mar 2012 ,3.86,750,800,2.5, n/a,I,16 Mar 2012,From S.U.T. Offered Teaching Assistantship.,
Rensselaer Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F12),Accepted , E-mail , 8 Mar 2012 ,3.38,620,800,3.5, n/a,I,15 Mar 2012,TA awarded,
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F12),Accepted , E-mail , 13 Mar 2012 ,n/a,149,170,3.5,990,I,14 Mar 2012,dreams come true,
Texas A&M University (TAMU) - College Station,Nuclear Engineering, Masters (F12),Accepted , E-mail , 9 Mar 2012,,,,, ,A,10 Mar 2012,I'm 41 years old and going to graduate school.  It's never too late!  I will dedicate this endeavor to my late father who always believed in me.  Love you Dad!,
University Of Massachusetts Lowell,Nuclear Engineering And Radiological Sciences, Masters (F12),Accepted , Website , 28 Feb 2012,,,,, ,A,7 Mar 2012,,
Penn State (PSU) University Park,Mechanical And Nuclear Engineering, PhD (F12),Accepted , E-mail , 2 Mar 2012 ,n/a,640,800,4, n/a,I,2 Mar 2012,Offered Teaching assistantship. :),
University Of Illinois - Urbana-Champaign (UIUC),Nuclear Science And Engineering, PhD (F12),Accepted , E-mail , 27 Feb 2012,,,,, ,I,1 Mar 2012,,
Purdue (west Lafayette),Nuclear Engineering, PhD (F12),Accepted , E-mail , 21 Feb 2012 ,3.66,152,167,3.5, n/a,I,21 Feb 2012,Does anyone know something about the nuclear engineering program at purdue? Its ranking is not as high as it used to be some years ago. I am wondering if this is a right place worth to join for my phd study.,
North Carolina State University (NCSU),Nuclear Engineering, Masters (F12),Accepted , E-mail , 20 Feb 2012 ,3.77,163,155,4.5, n/a,A,20 Feb 2012,Admitted with full assistantship.,
North Carolina Sate University (NCSU),Nuclear Engineering, PhD (F12),Accepted , Website , 20 Feb 2012 ,3.4,560,800,4.5, n/a,A,20 Feb 2012,"Saw link on website, no clue about funding or visit date",
North Carolina State University,Nuclear Engineering, PhD (F12),Accepted , Website , 20 Feb 2012 ,3.6,168,170,4, n/a,A,20 Feb 2012,,
Rensselaer Polytechnic Institute,"Mechanical, Aerospace And Nuclear Engineering", Masters (F12),Rejected , E-mail , 9 Jan 2012,,,,, ,I,18 Feb 2012,,
Georgia Institute Of Technology (GaTech),Nuclear And Radiological Engineering, PhD (F12),Accepted , Postal Service , 16 Feb 2012,,,,, ,A,16 Feb 2012,"""Regarding financial aid, a decision will be made at a later date""",
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, Masters (F12),Accepted , E-mail , 14 Feb 2012,,,,, ,A,14 Feb 2012,"Email notifying me to save the date. Not sure if its masters with PhD track, or just masters. Admitted with funding. Excited doesn't even describe my feelings right now.",
Massachusett Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F12),Accepted , E-mail , 14 Feb 2012 ,3.94,161,170,4.5, n/a,A,14 Feb 2012,"They sent out an email basically informing me of my admission and telling me to save the date for the visitation, which will be Mar 16-18.",
Rensselaer Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F12),Accepted , Website , 10 Feb 2012 ,3.6,168,170,4, n/a,A,11 Feb 2012,No information on funding yet.,
Penn State Univ (PSU) University Park,Mechanical And Nuclear Engineering, PhD (F12),Accepted , E-mail , 22 Jan 2012 ,3.67,155,169,3.5, n/a,A,8 Feb 2012,,
Ohio State University (OSU),Nuclear Engineering, PhD (F12),Accepted , E-mail , 2 Feb 2012 ,3.82,157,169,4.5, n/a,A,2 Feb 2012,Email. Found out from website on 1/30/12,
"University Of Wisconsin, Madison",Nuclear Engineering, PhD (F12),Accepted , E-mail , 27 Jan 2012 ,3.82,157,169,4.5, n/a,A,2 Feb 2012,Via Email,
Rensselaer Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F12),Accepted , E-mail , 21 Dec 2011 ,3.4,560,800,4.5, n/a,A,1 Feb 2012,,
Pennsylvania State University,Nuclear Engineering, PhD (F12),Accepted , E-mail , 1 Feb 2012 ,3.4,560,800,4.5, n/a,A,1 Feb 2012,,
Rensselaer Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", Masters (F12),Accepted , Website , 27 Jan 2012 ,3.89,710,800,4, n/a,I,1 Feb 2012,,
Ohio State University (OSU),Nuclear Engineering, PhD (F12),Rejected , Website , 30 Jan 2012 ,9.99,710,800,3, n/a,U,30 Jan 2012,"Status on Website, Admission not approved. damn it",
"University Of Wisconsin, Madison",Nuclear Engineering And Engineering Physics, PhD (F12),Accepted , E-mail , 27 Jan 2012 ,3.94,161,170,4.5, n/a,A,27 Jan 2012,,
University Of Tennesse- Knoxville,Nuclear Engineering, PhD (F12),Accepted , E-mail , 25 Jan 2012 ,3.94,161,170,4.5, n/a,A,25 Jan 2012,"Accepted and invited to visitation weekend,",
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, Masters (F11),Rejected , E-mail , 22 Mar 2011,,,,, ,A,7 Apr 2011,,
Rensselaer Polytechnic Institute (RPI),Nuclear Engineering, Masters (F11),Accepted , E-mail , 29 Mar 2011,,,,, ,A,7 Apr 2011,,
"University Of Michigan , Ann Arbor",Nuclear Engineering, PhD (F11),Other , E-mail , 6 Apr 2011,,,,, ,A,6 Apr 2011,"I haven't heard anything since I interviewed 2 weekends ago....should I just put rejected and move on? This was my safety school, oh well.",
Massachusett Institute Of Technology (MIT),Nuclear Engineering, PhD (F11),Rejected , E-mail , 5 Apr 2011 ,3.9,640,800,3, n/a,U,5 Apr 2011,reply my email. dream school,
Massachusett Institute Of Technology (MIT),Nuclear Engineering, Masters (F11),Rejected , Phone , 1 Apr 2011 ,3.9,590,800,4, n/a,I,1 Apr 2011,phone them and eventually got the result...,
"University Of California, Berkeley (UCB)",Nuclear Engineering, Masters (F11),Rejected , Website , 1 Apr 2011 ,3.68,480,800,3.5,890,U,1 Apr 2011,This is Berkeley...,
Georgia Institute Of Technology (GaTech),Nuclear And Radiological Engineering, PhD (F11),Accepted , Postal Service , 28 Mar 2011 ,3.01,570,800,5,680,A,28 Mar 2011,"Physics GRE 680, MS GPA 3.6. No funding (is that normal for engineers in this field?).",
Pennsylvania State University ( Penn State),Mechanical And Nuclear Engineering, Masters (F11),Accepted , E-mail , 28 Mar 2011 ,3.44,570,800,3, n/a,I,28 Mar 2011,Half-time TA offered,
Penn State (PSU),Mechanical And Nuclear Engineering, PhD (F11),Rejected , E-mail , 24 Mar 2011,,,,, ,U,24 Mar 2011,"ok, started",
University Of Michigan (Ann Arbor),Nuclear Engineering And Radiological Sciences, PhD (F11),Accepted , E-mail , 24 Mar 2011,,,,, ,U,24 Mar 2011,,
Penn State (PSU),Mechanical And Nuclear Engineering,PhD (F11),Rejected , E-mail , 24 Mar 2011,,,,, ,U,24 Mar 2011,,
Penn State,Mechanical And Nuclear Engineering, PhD (F11),Rejected , E-mail , 24 Mar 2011,,,,, ,I,24 Mar 2011,not the dream university anyway,
Massachusett Institute Of Technology (MIT),Nuclear Engineering, PhD (F11),Rejected , E-mail , 22 Mar 2011,,,,, ,I,22 Mar 2011,huff.. they send it at last,
University Of Michigan - Ann Arbor (Umich),Nuclear Engineering And Radiological Sciences, Masters (F11),Accepted , E-mail , 17 Mar 2011,,,,, ,A,20 Mar 2011,,
University Of Illinois At Urbana-Champaign(UIUC),Nuclear Engineering, PhD (F11),Accepted , E-mail , 18 Mar 2011,,,,, ,A,18 Mar 2011,"Unofficial notice from Department, Graduate College Admissions will send official.",
University Of California - Berkeley (UCB),Nuclear Engineering, PhD (F11),Rejected , E-mail , 18 Mar 2011,,,,, ,I,18 Mar 2011,,
University Of California - Berkeley (UCB),Nuclear Engineering, PhD (F11),Rejected , E-mail , 17 Mar 2011 ,3.9,590,800,4, n/a,I,18 Mar 2011,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (F11),Rejected , E-mail , 18 Mar 2011,,,,, ,I,18 Mar 2011,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, Masters (F11),Rejected , E-mail , 17 Mar 2011 ,3.63,800,380,3.5, n/a,U,17 Mar 2011,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, Masters (F11),Rejected , E-mail , 17 Mar 2011,,,,, ,I,17 Mar 2011,,
University Of Michigan - Ann Arbor,Nuclear Engineering, Masters (F11),Other , Website , 15 Mar 2011,,,,, ,I,16 Mar 2011,"""The Graduate Admissions Committee of the Department of Nuclear Engineering and Radiological Sciences (NERS) carefully reviewed your application for admission to the graduate program to either the master or doctoral program and recommends your admission. """,
Massachusett Institute Of Technology (MIT),Nuclear Engineering And Radiological Sciences, PhD (F11),Rejected , E-mail , 8 Mar 2011 ,n/a,650,800,4.5, n/a,A,8 Mar 2011,"I emailed, and they replied. Meh, not too bothered, got into better institutes.",
Rensselaer Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F11),Accepted , Website , 4 Mar 2011,,,,, ,I,4 Mar 2011,"they said /...""Contact dept for financial assistance""..",
Oregon State University,Nuclear Engineering, Masters (F11),Accepted , E-mail , 1 Mar 2011,,,,, ,A,3 Mar 2011,,
Rensselaer Polytechnic Institute (RPI),"Department Of Mechanical, Aerospace And Nuclear Engineering(MANE)", PhD (F11),Accepted , E-mail , 24 Feb 2011 ,,,,,,?,25 Feb 2011,,
"University Of Wisconsin, Madison",Nuclear Engineering And Engineering Physics, PhD (F11),Accepted , E-mail , 11 Feb 2011 ,3.3,800,450,3,760,I,25 Feb 2011,,
Rensselaer Polytechnic Institute (RPI),Nuclear Engineering, PhD (F11),Accepted , Website , 16 Feb 2011,,,,, ,A,17 Feb 2011,Admissions packet to come soon.,
Texas A & M University (TAMU),Nuclear Engineering, PhD (F11),Accepted , E-mail , 15 Feb 2011,,,,, ,A,15 Feb 2011,"Received letter of acceptance today, but invitational is for March 4th.

I guess it really was a visit instead of rounds of interviews!",
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (F11),Accepted , E-mail , 15 Feb 2011 ,n/a,650,800,4.5, n/a,A,15 Feb 2011,Got an email inviting me to the open day on March 6-7th. I'm in woooooo,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (F11),Other , E-mail , 12 Feb 2011,,,,, ,U,14 Feb 2011,invite to Berkeley on March 6th.,
Imperial College London,Nuclear Engineering, PhD (F11),Accepted , E-mail , 11 Feb 2011,,,,, ,I,11 Feb 2011,Includes full funding,
"University Of Wisconsin, Madison",Nuclear Engineering And Engineering Physics, PhD (F11),Accepted , E-mail , 10 Feb 2011,,,,, ,A,11 Feb 2011,"Super excited.  First response, first acceptance.",
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (F11),Accepted , E-mail , 10 Feb 2011,,,,, ,A,10 Feb 2011,,
"University Of Michigan, Ann Arbor",Nuclear Engineering And Radiological Sciences, PhD (F11),Interview , E-mail , 10 Feb 2011,,,,, ,U,10 Feb 2011,Invited for weekend visit,
North Carolina State University (NCSU),Nuclear Engineering, Masters (F11),Accepted , Website , 9 Feb 2011,,,,, ,A,10 Feb 2011,,
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F11),Interview , E-mail , 7 Feb 2011,,,,, ,A,8 Feb 2011,"Invited for weekend visit, expenses paid",
University Of Michigan-Ann Arbor,Nuclear Engineering, PhD (F11),Interview , E-mail , 7 Feb 2011,,,,, ,A,7 Feb 2011,Invited to Graduate Weekend - All expenses paid,
North Carolina State University (NCSU),Nuclear Engineering, PhD (F11),Accepted , E-mail , 4 Feb 2011,,,,, ,A,4 Feb 2011,with funding,
Texas A & M University,Nuclear Engineering, PhD (F11),Interview , E-mail , 1 Feb 2011,,,,, ,A,1 Feb 2011,"Invited to ""Graduate Invitational""",
Pennsylvania State University (Penn State),Nuclear Engineering, Masters (F11),Accepted , E-mail , 31 Jan 2011,,,,, ,A,1 Feb 2011,,
Pennsylvania State University (Penn State),Mechanical And Nuclear Engineering, PhD (F11),Accepted , E-mail , 31 Jan 2011,,,,, ,A,31 Jan 2011,Invited to visit end of February and seperate email with funded TA position for one year.,
Ohio State,Nuclear Engineering, PhD (F11),Accepted , Postal Service , 29 Jan 2011,,,,, ,A,29 Jan 2011,No info on funding.,
Pennsylvania State University (Penn State),Mechanical And Nuclear Engineering, PhD (F11),Accepted , E-mail , 27 Jan 2011,,,,, ,A,27 Jan 2011,Tuition waiver and research assistantship. Pretty excited.,
Pennsylvania State University,Mechanical And Nuclear Engineering, PhD (F11),Interview , E-mail , 17 Jan 2011 ,3.5,630,770,5, n/a,A,17 Jan 2011,"Visiting weekend Feb 25-27, student-faculty interviews was part of the program.",
Texas A & M University,Nuclear Engineering, PhD (F10),Rejected , Website , 15 Jul 2010,,,,, ,A,20 Jul 2010,7 months, took them long enough.  Ridiculous letter too.
Arkansas Tech University,Nuclear Engineering, Masters (F10),Accepted , E-mail , 30 Apr 2010,,,,, ,A,30 Apr 2010,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (F10),Rejected , E-mail , 23 Apr 2010,,,,, ,A,25 Apr 2010,pretty late notification,
University Of New Mexico,Nuclear Engineering, Masters (F10),Rejected , Postal Service , 19 Apr 2010 ,n/a,480,730,4.5, n/a,A,19 Apr 2010,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, Masters (F10),Accepted , E-mail , 15 Apr 2010 ,3.74,660,780,4, n/a,A,15 Apr 2010,I guess I came off some sort of internal waitlist...sent me an email at 3:22pm...I don't think many people haven't accepted offers by then.,
"University Of Michigan, Ann Arbor",Nuclear Engineering, Masters (F10),Accepted , E-mail , 6 Apr 2010 ,3.74,660,780,4, n/a,A,15 Apr 2010,,
Texas A&M University (TAMU) - College Station,Mechanical And Nuclear Engineering, Masters (F10),Accepted , E-mail , 15 Feb 2010 ,3.74,660,780,4, n/a,A,15 Apr 2010,,
Texas A&M University,Nuclear Engineering, PhD (F10),Accepted , E-mail , 12 Apr 2010,,,,, ,I,15 Apr 2010,"toooo late, second to the below",
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (F10),Accepted , E-mail , 14 Apr 2010,,,,, ,I,15 Apr 2010,tooooooo late,
"University Of Michigan, Ann Arbor",Nuclear Engineering And Radiological Sciences, PhD (F10),Rejected , E-mail , 13 Apr 2010,,,,, ,A,13 Apr 2010,,
Pennsylvania State University (PSU),Mechanical And Nuclear Engineering, PhD (F10),Rejected , E-mail , 12 Apr 2010,,,,, ,U,12 Apr 2010,"I have an MS degree from a top-3 engineering school in the US and already accepted an offer. I am writing here just to share with you that the admission stuff of PSU ME are the least professional ones among 10 schools' I applied to. They have  have serious communication problems. If you do not really want it, I advice you to consider other schools.",
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (F10),Rejected , E-mail , 7 Apr 2010,,,,, ,A,9 Apr 2010,,
"University Of Michigan, Ann Arbor",Nuclear Engineering And Radiological Sciences, PhD (F10),Accepted , E-mail , 7 Apr 2010,,,,, ,I,8 Apr 2010,"Double Kill, mission complete",
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (F10),Rejected , Website , 7 Apr 2010,,,,, ,A,8 Apr 2010,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, Masters (F10),Accepted , E-mail , 8 Apr 2010 ,3.56,500,790,5.5, n/a,A,8 Apr 2010,w/funding!:),
Pennsylvania State University (PSU),Mechanical And Nuclear Engineering, PhD (F10),Rejected , E-mail , 6 Apr 2010,,,,, ,I,6 Apr 2010,,
Pennsylvania State University (PSU),Mechanical And Nuclear Engineering, PhD (F10),Rejected , E-mail , 6 Apr 2010,,,,, ,I,6 Apr 2010,,
University Of New Mexico,Chemical And Nuclear Engineering, Masters (F10),Rejected , Postal Service , 29 Mar 2010,,,,, ,A,5 Apr 2010,,
Ohio State University (OSU),Nuclear Engineering, PhD (F10),Accepted , E-mail , 22 Mar 2010,,,,, ,I,2 Apr 2010,I haven't heard anything about funding yet.,
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F10),Rejected , E-mail , 1 Apr 2010,,,,, ,A,2 Apr 2010,Response to my email inquiry.,
Ohio State University (OSU),Nuclear Engineering, PhD (F10),Accepted , E-mail , 18 Mar 2010,,,,, ,I,1 Apr 2010,fellowship,
Ohio State University (OSU),Nuclear Engineering, PhD (F10),Accepted , Website , 11 Mar 2010,,,,, ,I,31 Mar 2010,No word on funding yet,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, Masters (F10),Accepted , E-mail , 29 Mar 2010,,,,, ,I,29 Mar 2010,I got an mail asking to check the website.,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering And Engineering Physics, Masters (F10),Rejected , E-mail , 29 Mar 2010,,,,, ,A,29 Mar 2010,,
University Of Michigan,Nuclear Engineering, PhD (F10),Accepted , E-mail , 24 Mar 2010,,,,, ,A,25 Mar 2010,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, Masters (F10),Other , Other , 24 Mar 2010,,,,, ,A,24 Mar 2010,Anyone still waiting to hear from them? Should I just assume its a rejection?,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, Masters (S10),Other , Other , 23 Mar 2010,,,,, ,O,23 Mar 2010,Did anyone get any news from them ? Should I keep hoping ?,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (F10),Rejected , E-mail , 12 Mar 2010,,,,, ,A,19 Mar 2010,,
"University Of Tennessee, Knoxville",Nuclear Engineering, Masters (F10),Rejected , E-mail , 18 Mar 2010 ,n/a,480,730,4.5, n/a,A,18 Mar 2010,"Studied Physics, BS 09', as an Undergrad at Top 20 University. I guess crossing over to engineering Isn't as easy as I thought...EVEN THOUGH Physicists are responsible for nuclear engineering. Waiting on 3 more schools.",
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (F10),Rejected , E-mail , 12 Mar 2010,,,,, ,A,14 Mar 2010,,
Missouri-Columbia,Nuclear Engineering, PhD (F10),Accepted , E-mail , 12 Mar 2010,,,,, ,A,14 Mar 2010,,
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F10),Other , E-mail , 11 Feb 2010 ,3.83,360,790,4, n/a,A,25 Feb 2010,Invited to department visit in March 11,
